Código modular,Código de institución,Nombre de IE,Nivel / Modalidad,Tipo de Gestión,Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo),Docentes (Censo educativo),Secciones (Censo educativo),GeoLocation
1773282,24631151.0,MARIA AUXILIADORA,Inicial - Jardín,Privada,Particular,AVENIDA MARISCAL CASTILLA 204,Arequipa / Islay / Mollendo,6.0,1.0,3.0,"-17.0199,-72.0156"
3981687,,DESTELLOS DE LUZ,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE FRANCISCO BOLOGNESI 505,Arequipa / Islay / Mollendo,12.0,0.0,2.0,"-17.0212,-72.0134"
3026481,25635183.0,KINDERLAND MOLLENDO,Inicial - Cuna Jardín,Privada,Particular,CALLE IQUITOS 385 MZ B LOTE 2,Arequipa / Islay / Mollendo,27.0,3.0,4.0,"-17.0249,-72.0195"
3042207,26167957.0,MONTESSORI MOLLENDO COLLEGE,Inicial - Jardín,Privada,Particular,AVENIDA 16 S/N MZ LL LOTE 8-9,Arequipa / Islay / Mollendo,5.0,3.0,2.0,"-17.0281,-72.0192"
4001195,,MI PEQUEÑO JOSE,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE COLOMBIA S/N,Arequipa / Islay / Mollendo,11.0,0.0,2.0,"-17.0204,-72.0190"
4006705,,LUZ DE ESPERANZA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA 30 DE AGOSTO S/N,Arequipa / Islay / Mollendo,9.0,0.0,2.0,"-17.0231,-72.0194"
225326,24216675.0,NIÑO JESUS DE PRAGA,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO S/N,Arequipa / Islay / Cocachacra,143.0,8.0,8.0,"-17.0883,-71.7529"
226092,24216837.0,DIVINO NIÑO JESUS,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE PERU S/N,Arequipa / Islay / Cocachacra,36.0,3.0,3.0,"-17.0839,-71.7532"
287813,24991768.0,41048 CRISTO REY,Primaria,Pública de gestión directa,Sector Educación,CALLE TACNA 612,Arequipa / Islay / Cocachacra,357.0,18.0,14.0,"-17.0843,-71.7614"
307835,22282786.0,41513 SAGRADO CORAZON DE JESUS,Primaria,Pública de gestión directa,Sector Educación,AVENIDA PERU S/N,Arequipa / Islay / Cocachacra,107.0,7.0,6.0,"-17.0909,-71.7541"
309476,24991504.0,MARIANO E. RIVERO Y USTARIZ,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO 1200,Arequipa / Islay / Cocachacra,349.0,36.0,17.0,"-17.0859,-71.7608"
313627,24580245.0,40482 SAN MARTIN DE PORRES,Primaria,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO S/N,Arequipa / Islay / Cocachacra,249.0,15.0,12.0,"-17.0870,-71.7587"
313635,22283693.0,40483,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,Arequipa / Islay / Cocachacra,3.0,1.0,2.0,"-17.0880,-71.7538"
