codigo_modular,codigo_de_institucion,nombre_de_ie,nivel_modalidad,tipo_de_gestion,dependencia,direccion_de_ie,alumnos,docentes,secciones,geolocation,departamento,provincia,distrito
1773274,24631311.0,SAINT MICHAEL THE ARCHANGEL,Secundaria,Privada,Particular,AVENIDA INDEPENDENCIA S7N MZ G LOTE 01,17.0,8.0,4.0,"-17.1115,-71.8483",Arequipa,Islay,Dean Valdivia
1776145,24630994.0,LA PLACE,Primaria,Privada,Particular,JIRON 02 DE MAYO S/N,19.0,3.0,3.0,"-17.1147,-71.8389",Arequipa,Islay,Dean Valdivia
3996430,,MI PEQUEÑO JUAN PABLO,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE UNION COSTANERA S/N A DOS CUADRAS DE LA LOZA,6.0,0.0,3.0,"-17.1155,-71.8482",Arequipa,Islay,Dean Valdivia
309740,22974718.0,40479 MIGUEL GRAU,Secundaria,Pública de gestión directa,Sector Educación,CALLE MIGUEL GRAU S/N,319.0,27.0,15.0,"-16.9929,-72.0560",Arequipa,Islay,Islay
313593,22974718.0,40479 MIGUEL GRAU,Primaria,Pública de gestión directa,Sector Educación,CALLE MIGUEL GRAU S/N,362.0,18.0,14.0,"-16.9994,-72.0581",Arequipa,Islay,Islay
503060,22299875.0,MICAELA BASTIDAS,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE MARIANO MELGAR S/N,62.0,4.0,4.0,"-16.9957,-72.0647",Arequipa,Islay,Islay
1302744,22300199.0,MI PEQUEÑO PARAISO,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA AREQUIPA S/N,73.0,6.0,6.0,"-16.9988,-72.0608",Arequipa,Islay,Islay
1518562,24630811.0,ESPIRITU SANTO,Primaria,Privada,Particular,MZ I LOTE 8,113.0,6.0,6.0,"-16.9993,-72.0608",Arequipa,Islay,Islay
55101,,LOS JASMINES,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVIS VILLA EL PESCADOR,8.0,0.0,2.0,"-16.9934,-72.0562",Arequipa,Islay,Islay
1634583,24630811.0,ESPIRITU SANTO,Inicial - Jardín,Privada,Particular,MZ I LOTE 8,48.0,3.0,3.0,"-16.9997,-72.0605",Arequipa,Islay,Islay
1694991,22973568.0,EL BUEN PASTOR,Primaria,Pública de gestión directa,Sector Educación,MZ B,135.0,7.0,6.0,"-16.9950,-72.0600",Arequipa,Islay,Islay
1712470,22307381.0,BRISAS DE ISLAY,Inicial - Jardín,Pública de gestión directa,Sector Educación,APVIS BRISAS DE ISLAY,38.0,2.0,3.0,"-17.0006,-72.0573",Arequipa,Islay,Islay
1712488,22973568.0,EL BUEN PASTOR,Inicial - Jardín,Pública de gestión directa,Sector Educación,MZ B,47.0,3.0,3.0,"-16.9999,-72.0600",Arequipa,Islay,Islay
1712496,24640140.0,VILLA EL PESCADOR,Inicial - Jardín,Pública de gestión directa,Sector Educación,MZ A LOTE 2,16.0,1.0,3.0,"-17.0001,-72.0577",Arequipa,Islay,Islay
3869331,,ARCO IRIS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVIS PUERTO RICO MZ F LOTE 4,14.0,0.0,3.0,"-16.9925,-72.0631",Arequipa,Islay,Islay
